GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit5-mps-uma,org.mps.ronqi2,RonQI2,6,51,4,10,1,13,5,7,1,4
junit5-mps-uma,org.mps.ronqi2,RonQI2Silver,0,108,0,8,0,26,0,9,0,5
junit5-mps-uma,org.mps.dispositivo,Dispositivo,3,0,0,0,1,0,1,0,1,0
junit5-mps-uma,org.mps.dispositivo,DispositivoSilver,25,0,0,0,11,0,8,0,8,0
